	feat.N	feat.last_char	feat.sample_per_class	model.batch_size	model.layers	model.nb_epoch	result.test_acc
204	3.0	3.0	30000.0	500.0	(40, 40)	300.0	0.9728886288277744
205	3.0	3.0	30000.0	500.0	(40, 40)	300.0	0.9715233079773746
206	3.0	3.0	30000.0	500.0	(40, 40)	300.0	0.9765944997074312
207	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.5361512792654112
208	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.5234192037470726
209	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.5925155925155925
210	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.5945674044265593
211	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.6089108910891089
212	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.605288932769469
213	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.6166347993491484
214	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.6319772942289499
215	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.6462841020478243
216	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.6857410879564554
217	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.6654205610818952
218	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.6735074626865671
219	2.0	6.0	100.0	500.0	(40, 40)	300.0	0.7029795158286778
220	3.0	5.0	30000.0	500.0	(10, 10)	300.0	0.9553333333333334
221	3.0	5.0	30000.0	500.0	(10, 20)	300.0	0.9563333333333334
222	3.0	5.0	30000.0	500.0	(10, 30)	300.0	0.9590833333333332
223	3.0	5.0	30000.0	500.0	(10, 40)	300.0	0.9595
224	3.0	5.0	30000.0	500.0	(10, 50)	300.0	0.9575
225	3.0	5.0	30000.0	500.0	(10, 60)	300.0	0.9570000000000001
226	3.0	5.0	30000.0	500.0	(10, 70)	300.0	0.9521666666666668
227	3.0	5.0	30000.0	500.0	(10, 80)	300.0	0.9558333333333332
228	3.0	5.0	30000.0	500.0	(10, 90)	300.0	0.9631666666666666
229	3.0	5.0	30000.0	500.0	(10, 100)	300.0	0.9555
230	3.0	5.0	30000.0	500.0	(20, 10)	300.0	0.9598333333333332
231	3.0	5.0	30000.0	500.0	(20, 20)	300.0	0.95675
232	3.0	5.0	30000.0	500.0	(20, 30)	300.0	0.9598333333333332
233	3.0	5.0	30000.0	500.0	(20, 40)	300.0	0.9571666666666668
234	3.0	5.0	30000.0	500.0	(20, 50)	300.0	0.9583333333333334
235	3.0	5.0	30000.0	500.0	(20, 60)	300.0	0.95975
236	3.0	5.0	30000.0	500.0	(20, 70)	300.0	0.9616666666666668
237	3.0	5.0	30000.0	500.0	(20, 80)	300.0	0.9583333333333334
238	3.0	5.0	30000.0	500.0	(20, 90)	300.0	0.9550833333333332
239	3.0	5.0	30000.0	500.0	(20, 100)	300.0	0.9571666666666668
240	3.0	5.0	30000.0	500.0	(30, 10)	300.0	0.9590833333333332
241	3.0	5.0	30000.0	500.0	(30, 20)	300.0	0.95625
242	3.0	5.0	30000.0	500.0	(30, 30)	300.0	0.96425
243	3.0	5.0	30000.0	500.0	(30, 40)	300.0	0.9570833333333332
244	3.0	5.0	30000.0	500.0	(30, 50)	300.0	0.9601666666666666
245	3.0	5.0	30000.0	500.0	(30, 60)	300.0	0.9594166666666668
246	3.0	5.0	30000.0	500.0	(30, 70)	300.0	0.9579166666666666
247	3.0	5.0	30000.0	500.0	(30, 80)	300.0	0.9559166666666666
248	3.0	5.0	30000.0	500.0	(30, 90)	300.0	0.9606666666666668
