model.nb_epoch	feat.last_char	model.activations	model.metrics	global.train_test_split	result.exception	result.feature_count	feat.tag_filter	global.nolog	feat.data_path	model.batch_size	feat.encoding	result.test_sample_count	feat.use_padding	result.test_acc	model.architecture	result.train_sample_count	feat.sample_per_class	result.train_loss	feat.include_smaller_ngrams	model.input_dim	result.success	result.running_time	result.test_loss	model.output_dim	result.train_acc	feat.N	model.loss	model.layers	model.optimizer	global.comment	result.timestamp	feat.max_lines	feat.full_tag	feat.grep_filter	feat.sample_size	result.class_no	feat.tag_limit_in_cluster	feat.shuffled	feat.uniq_lines	model.early_stopping	feat.early_stopping
50.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	100.0	latin2	2000.0	True	0.952	FFNN	18000.0	10000.0	0.08120544407309757	False	3604.0	True	0 days 00:00:30.639644	0.13268426421657206	2.0	0.97275	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
50.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	200.0	latin2	2000.0	True	0.95625	FFNN	18000.0	10000.0	0.0612553051129087	False	3604.0	True	0 days 00:00:24.093329	0.14648667357675732	2.0	0.9815555555555556	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
50.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	500.0	latin2	2000.0	True	0.966	FFNN	18000.0	10000.0	0.053641832819389584	False	3604.0	True	0 days 00:00:19.167683	0.13426135493908078	2.0	0.9827777777777778	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
50.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	1000.0	latin2	2000.0	True	0.9605	FFNN	18000.0	10000.0	0.056622220647780025	False	3604.0	True	0 days 00:00:17.377120	0.12705644348543138	2.0	0.9818333333333332	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
50.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	2000.0	latin2	2000.0	True	0.9585	FFNN	18000.0	10000.0	0.07279750144316091	False	3604.0	True	0 days 00:00:21.243966	0.12155010030418635	2.0	0.9758611111111112	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
60.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	50.0	latin2	2000.0	True	0.95475	FFNN	18000.0	10000.0	0.0918830812621034	False	3604.0	True	0 days 00:00:49.818795	0.1495113787688315	2.0	0.9689722222222222	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
60.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	100.0	latin2	2000.0	True	0.948	FFNN	18000.0	10000.0	0.07790824873890312	False	3604.0	True	0 days 00:00:36.311405	0.1647252585925162	2.0	0.9751388888888888	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
60.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	200.0	latin2	2000.0	True	0.9595	FFNN	18000.0	10000.0	0.0628512176675722	False	3604.0	True	0 days 00:00:28.340050	0.13599261947348715	2.0	0.9799166666666668	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
60.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	500.0	latin2	2000.0	True	0.966	FFNN	18000.0	10000.0	0.051599836892720005	False	3604.0	True	0 days 00:00:22.850565	0.127123106215382	2.0	0.9833333333333332	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
60.0	6.0	('sigmoid', 'sigmoid', 'sigmoid')	['accuracy']	0.9		3604.0	('NOUN', 'VERB')	False	/mnt/store/hlt/Language/Hungarian/Crawl/Web2/ana/xaa.tagged	1000.0	latin2	2000.0	True	0.9625	FFNN	18000.0	10000.0	0.05149382467218674	False	3604.0	True	0 days 00:00:20.719150	0.15173360243439676	2.0	0.9831666666666666	2.0	binary_crossentropy	(40, 40)	rmsprop										False	False	
